code,name,routes,direction,link,id,"Latitude,Longitude"
104234	,BRONX RIVER AV/BRUCKNER BLVD,BX5,S,https://bustime.mta.info/m/index?q=104234,MTA_104234,"40.822484, -73.882739"
104570	,BRUCKNER BLVD/SAINT JOSEPHS WAY,BX5,E,https://bustime.mta.info/m/index?q=104570,MTA_104570,"40.828675, -73.835386"
104644	,BRUCKNER BLVD/BRONX RIVER AV,BX5,W,https://bustime.mta.info/m/index?q=104644,MTA_104644,"40.823239, -73.883043"
104681	,SOUTHERN BLVD/E 163 ST,BX5,S,https://bustime.mta.info/m/index?q=104681,MTA_104681,"40.821303, -73.891671"
802158	,WESTCHESTER AV/BRUCKNER BLVD,BX5,S,https://bustime.mta.info/m/index?q=802158,MTA_802158,"40.852868, -73.82681"
802159	,CHARLES CRIMI RD/SUBWAY OVERPASS,BX5,N,https://bustime.mta.info/m/index?q=802159,MTA_802159,"40.852924, -73.825938"
802167	,Parking Ramp/Access Rd,BX5,NE,https://bustime.mta.info/m/index?q=802167,MTA_802167,"40.865119, -73.828095"
802168	,PARKING RAMP/ACCESS RD,BX5,NE,https://bustime.mta.info/m/index?q=802168,MTA_802168,"40.86545, -73.82781"
802169	,CHARLES CIMI PL/WILKINSON AV,BX5,N,https://bustime.mta.info/m/index?q=802169,MTA_802169,"40.851997, -73.826235"
550001	,EASTERN RD/BLDG 77 HALMAR,Q06,NW,https://bustime.mta.info/m/index?q=550001,MTA_550001,"40.652639, -73.76537"
550002	,N BOUNDARY RD/BLDG 250 POST OFFICE,Q06,NW,https://bustime.mta.info/m/index?q=550002,MTA_550002,"40.656654, -73.77053"
550003	,N BOUNDARY RD/OLD ROCKAWAY BLVD,Q06,NW,https://bustime.mta.info/m/index?q=550003,MTA_550003,"40.657451, -73.771764"
550004	,ROCKAWAY BLVD/147 AV,Q06,NW,https://bustime.mta.info/m/index?q=550004,MTA_550004,"40.660357, -73.774194"
550005	,ROCKAWAY BLVD/145 RD,Q06,NW,https://bustime.mta.info/m/index?q=550005,MTA_550005,"40.662652, -73.776172"
550007	,ROCKAWAY BLVD/144 AV,Q06,NW,https://bustime.mta.info/m/index?q=550007,MTA_550007,"40.665882, -73.778917"
550008	,ROCKAWAY BLVD/N CONDUIT AV,Q06,NW,https://bustime.mta.info/m/index?q=550008,MTA_550008,"40.667706, -73.780563"
550009	,ROCKAWAY BLVD/137 AV,Q06,NW,https://bustime.mta.info/m/index?q=550009,MTA_550009,"40.668811, -73.781633"
